id,Pretrial sr,Trial number,Trial sr,Five hits,Pair id,Option 1,Option 2,Type
3,0.6,,,,,,,
,,1,0.75,1,1,16.25,16.5,1
,,,,,2,16.5,17,1
,,2,0.65,0,1,16,16.5,1
,,,,,2,16.75,16.5,0
,,3,0.83333,1,1,16.5,16.25,1
,,,,,2,17,16.5,1
,,4,0.65,0,1,16.5,16.75,0
,,,,,2,16.5,16,1
4,0.6,,,,,,,
,,1,0.7,0,1,16.25,16.5,1
,,,,,2,16.5,16,1
,,2,0.7,1,1,16.5,16.25,0
,,,,,2,16.75,16.5,1
,,3,0.55,0,1,16,16.5,1
,,,,,2,17,16.5,0
,,4,0.45,0,1,16.5,16.75,0
,,,,,2,16.5,17,1
5,0.65,,,,,,,
,,1,0.83333,1,1,16.25,16.5,1
,,,,,2,16.5,16,0
,,2,0.55,0,1,16.5,16.25,0
,,,,,2,16.75,16.5,1
,,3,0.55,0,1,16,16.5,1
,,,,,2,17,16.5,1
,,4,0.6,0,1,16.5,16.75,0
,,,,,2,16.5,17,1
6,0.5,,,,,,,
,,1,0.5,0,1,16.5,16.75,0
,,,,,2,16.5,16,1
,,2,0.4,0,1,16.5,16.25,1
,,,,,2,16.75,16.5,0
,,3,0.45,0,1,16,16.5,1
,,,,,2,17,16.5,1
,,4,0.45,0,1,16.25,16.5,1
,,,,,2,16.5,17,0
7,0.35,,,,,,,
,,1,0.4,0,1,16.25,16.5,1
,,,,,2,16.5,16,1
,,2,0.45,0,1,16.5,16.25,1
,,,,,2,16.75,16.5,1
,,3,0.55,0,1,16,16.5,1
,,,,,2,17,16.5,1
,,4,0.5,0,1,16.5,16.75,0
,,,,,2,16.5,17,1
8,0.5,,,,,,,
,,1,0.35,0,1,16.25,16.5,0
,,,,,2,16.5,16,0
,,2,1,1,1,16.5,16.25,1
,,,,,2,16.75,16.5,0
,,3,0.65,0,1,16.5,16.75,0
,,,,,2,17,16.5,0
,,4,0.45,0,1,16,16.5,1
,,,,,2,16.5,17,1
9,0.55,,,,,,,
,,1,0.4,0,1,16.25,16.5,1
,,,,,2,17,16.5,1
,,2,0.5,0,1,16.5,16.25,0
,,,,,2,16.75,16.5,1
,,3,0.45,0,1,16,16.5,1
,,,,,2,16.5,16,1
,,4,0.6666,1,1,16.5,16.75,0
,,,,,2,16.5,17,1
10,0.45,,,,,,,
,,1,0.5,0,1,16.5,16.25,0
,,,,,2,16.75,16.5,0
,,2,0.45,0,1,16.25,16.5,0
,,,,,2,16.5,16,0
,,3,0.45,0,1,16,16.5,1
,,,,,2,17,16.5,1
,,4,0.65,0,1,16.5,16.75,1
,,,,,2,16.5,17,1
11,0.5,,,,,,,
,,1,0.55,0,1,16.25,16.5,0
,,,,,2,16.5,16,0
,,2,0.6,0,1,16.5,16.25,1
,,,,,2,16.75,16.5,0
,,3,0.83333,1,1,16,16.5,1
,,,,,2,17,16.5,1
,,4,0.45,0,1,16.5,16.75,0
,,,,,2,16.5,17,1
12,0.75,,,,,,,
,,1,0.77,1,1,16,16.5,1
,,,,,2,17,16.5,1
,,2,0.45,0,1,16.5,16.25,1
,,,,,2,16.75,16.5,0
,,3,0.55,0,1,16.25,16.5,0
,,,,,2,16.5,16,0
,,4,0.6,0,1,16.5,16.75,0
,,,,,2,16.5,17,1
13,0.45,,,,,,,
,,1,0.55,0,1,16.25,16.5,1
,,,,,2,16.5,16,1
,,2,0.3,0,1,16.5,16.25,0
,,,,,2,16.75,16.5,0
,,3,0.6,0,1,16,16.5,1
,,,,,2,17,16.5,1
,,4,0.5,0,1,16.5,16.75,1
,,,,,2,16.5,17,1