id,f 16,f 16.25,f 16.5,f 16.75,f 17,,nf 16,nf 16.25,nf 16.5,nf 16.75,nf 17,,Hit,False alarm,d',C
14,0.5,0.5,0.5,0.5,0.5,,0.333,0.667,0.625,0.333,0.167,,0.5,0.625,-0.2255,-0.1592
15,0.25,0,0.625,0.5,0.75,,,,,,,,0.625,,,
16,0.5,0,0.625,0.5,0.5,,0.5,0.5,0.708,0.167,0,,0.625,0.708,-0.1618,-0.4331
17,0,0.5,0.75,0,0.5,,0,0.25,0.75,0,0.75,,0.75,0.75,0,-0.6745
18,0,0,0.75,0.5,0.5,,0.25,0.5,0.688,0.25,0.25,,0.75,0.688,0.1303,-0.5824
,,,,,,,,,,,,,,,,
Avg,0.25,0.2,0.65,0.4,0.55,,0.27075,0.47925,0.69275,0.1875,0.29175,,0.65,0.69275,-0.06425,-0.4623
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
id,anf 16,anf 16.25,anf 16.5,anf 16.75,anf 17,,bnf 16,bnf 16.25,bnf 16.5,bnf 16.75,bnf 17,,Hit,False alarm,d',C
14,,,,,,,0.333,0.667,0.625,0.333,0.167,,,0.625,,
15,,,,,,,,,,,,,,,,
16,0.25,0.5,0.75,0.25,0,,1,0.5,0.625,0,0,,0.75,0.625,0.2516,-0.4966
17,,,,,,,0,0.25,0.75,0,0.75,,,0.75,,
18,0,0,0.75,0.5,0.5,,0.5,1,0.625,0,0,,0.75,0.625,0.2516,-0.4966
,,,,,,,,,,,,,,,,
Avg.,0.125,0.25,0.75,0.375,0.25,,0.45825,0.60425,0.65625,0.08325,0.22925,,0.75,0.65625,0.2516,-0.4966
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,16,16.25,16.5,16.75,17,,,,,,,,,,,
f,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,
,0.25,0,0.625,0.5,,,,,,,,,,,,
,0.5,0,0.625,0.5,0.5,,,,,,,,,,,
,0,0.5,0.75,0,0.5,,,,,,,,,,,
,0,0,0.75,0.5,0.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,
nf,0.333,0.667,0.625,0.333,0.167,,,,,,,,,,,
,0.5,0.5,0.708,0.167,0,,,,,,,,,,,
,0,0.25,0.75,0,0.75,,,,,,,,,,,
,0.25,0.5,0.688,0.25,0.25,,,,,,,,,,,